z,gamma
-29.720872357385804,0.9555054112362708
-29.710872357385803,0.9555059482091599
-29.7008723573858,0.9555064865909244
-29.6908723573858,0.9555070263848968
-29.680872357385798,0.9555075675944162
-29.670872357385797,0.9555081102228289
-29.660872357385795,0.9555086542734876
-29.650872357385794,0.9555091997497521
-29.640872357385792,0.9555097466549892
-29.63087235738579,0.955510294992572
-29.62087235738579,0.955510844765881
-29.610872357385787,0.9555113959783034
-29.600872357385786,0.9555119486332332
-29.590872357385784,0.9555125027340714
-29.580872357385783,0.9555130582842258
-29.57087235738578,0.9555136152871113
-29.56087235738578,0.9555141737461498
-29.550872357385778,0.9555147336647696
-29.540872357385776,0.9555152950464065
-29.530872357385775,0.9555158578945031
-29.520872357385773,0.9555164222125091
-29.51087235738577,0.9555169880038809
-29.50087235738577,0.955517555272082
-29.49087235738577,0.9555181240205832
-29.480872357385767,0.9555186942528618
-29.470872357385765,0.9555192659724026
-29.460872357385764,0.9555198391826971
-29.450872357385762,0.955520413887244
-29.44087235738576,0.9555209900895493
-29.43087235738576,0.9555215677931255
-29.420872357385758,0.9555221470014926
-29.410872357385756,0.9555227277181778
-29.400872357385754,0.9555233099467151
-29.390872357385753,0.9555238936906455
-29.38087235738575,0.9555244789535178
-29.37087235738575,0.9555250657388871
-29.360872357385748,0.9555256540503161
-29.350872357385747,0.9555262438913749
-29.340872357385745,0.9555268352656401
-29.330872357385743,0.9555274281766959
-29.320872357385742,0.9555280226281339
-29.31087235738574,0.9555286186235524
-29.30087235738574,0.9555292161665574
-29.290872357385737,0.9555298152607615
-29.280872357385736,0.9555304159097853
-29.270872357385734,0.9555310181172562
-29.260872357385733,0.9555316218868087
-29.25087235738573,0.955532227222085
-29.24087235738573,0.9555328341267343
-29.230872357385728,0.9555334426044132
-29.220872357385726,0.9555340526587855
-29.210872357385725,0.9555346642935225
-29.200872357385723,0.9555352775123026
-29.19087235738572,0.9555358923188116
-29.18087235738572,0.955536508716743
-29.17087235738572,0.955537126709797
-29.160872357385717,0.9555377463016814
-29.150872357385715,0.955538367496112
-29.140872357385714,0.955538990296811
-29.130872357385712,0.9555396147075087
-29.12087235738571,0.9555402407319425
-29.11087235738571,0.9555408683738574
-29.100872357385708,0.9555414976370059
-29.090872357385706,0.9555421285251474
-29.080872357385704,0.9555427610420495
-29.070872357385703,0.9555433951914866
-29.0608723573857,0.9555440309772412
-29.0508723573857,0.9555446684031028
-29.040872357385698,0.9555453074728687
-29.030872357385697,0.9555459481903436
-29.020872357385695,0.9555465905593397
-29.010872357385693,0.9555472345836765
-29.000872357385692,0.9555478802671817
-28.99087235738569,0.9555485276136899
-28.98087235738569,0.9555491766270436
-28.970872357385687,0.9555498273110928
-28.960872357385686,0.9555504796696951
-28.950872357385684,0.9555511337067157
-28.940872357385683,0.9555517894260275
-28.93087235738568,0.9555524468315106
-28.92087235738568,0.9555531059270534
-28.910872357385678,0.9555537667165515
-28.900872357385676,0.955554429203908
-28.890872357385675,0.9555550933930343
-28.880872357385673,0.955555759287849
-28.87087235738567,0.9555564268922783
-28.86087235738567,0.9555570962102565
-28.85087235738567,0.9555577672457254
-28.840872357385667,0.9555584400026345
-28.830872357385665,0.9555591144849409
-28.820872357385664,0.9555597906966099
-28.810872357385662,0.955560468641614
-28.80087235738566,0.955561148323934
-28.79087235738566,0.9555618297475579
-28.780872357385658,0.955562512916482
-28.770872357385656,0.9555631978347101
-28.760872357385654,0.955563884506254
-28.750872357385653,0.9555645729351331
-28.74087235738565,0.955565263125375
-28.73087235738565,0.9555659550810148
-28.720872357385648,0.9555666488060955
-28.710872357385647,0.9555673443046682
-28.700872357385645,0.9555680415807914
-28.690872357385643,0.9555687406385323
-28.680872357385642,0.9555694414819651
