Sample X	Sample Y	Sample Z	Sample Theta	CCD Theta	Beamline Energy	
27.59	29.82	1.5939999999999999	23.0	46.0	284.70000000000107	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	284.8000000000011	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	284.9000000000011	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	285.00000000000114	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	285.10000000000116	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	285.2000000000012	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	285.3000000000012	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	285.4000000000012	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	285.50000000000125	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	285.6000000000013	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	285.7000000000013	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	285.8000000000013	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	285.90000000000134	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	286.00000000000136	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	286.1000000000014	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	286.2000000000014	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	286.30000000000143	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	286.40000000000146	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	286.5000000000015	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	286.6000000000015	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	286.7000000000015	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	286.80000000000155	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	286.90000000000157	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	287.0000000000016	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	287.1000000000016	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	287.20000000000164	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	287.30000000000166	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	287.4000000000017	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	287.5000000000017	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	287.6000000000017	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	287.70000000000175	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	287.8000000000018	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	287.9000000000018	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	288.0000000000018	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	288.10000000000184	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	288.20000000000186	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	288.3000000000019	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	288.4000000000019	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	288.50000000000193	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	288.60000000000196	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	288.700000000002	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	288.800000000002	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	288.900000000002	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	289.00000000000205	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	289.10000000000207	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	289.2000000000021	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	289.3000000000021	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	289.40000000000214	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	289.50000000000216	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	289.6000000000022	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	289.7000000000022	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	289.8000000000022	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	289.90000000000225	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	290.0000000000023	2.0
27.59	29.82	1.5939999999999999	23.2	46.4	280.0	2.0
27.59	29.82	1.5939999999999999	23.2	46.4	280.1	2.0
27.59	29.82	1.5939999999999999	23.2	46.4	280.20000000000005	2.0
27.59	29.82	1.5939999999999999	23.2	46.4	280.30000000000007	2.0
27.59	29.82	1.5939999999999999	23.2	46.4	280.4000000000001	2.0
